Sign Language,Total Duration,Download Size
American,879.25 Hrs,`75.68GB <https://zenodo.org/record/6990583/files/American.zip>`_
Australian,71.99 Hrs,`6.46GB <https://zenodo.org/record/6990583/files/Australian.zip>`_
British,675.78 Hrs,`56.98GB <https://zenodo.org/record/6990583/files/British.zip>`_
Chinese,305.65 Hrs,`25.78GB <https://zenodo.org/record/6673685/files/Chinese.zip>`_
Greek,475.18 Hrs,`40.44GB <https://zenodo.org/record/6673685/files/Greek.zip>`_
Korean,426.72 Hrs,`46.45GB <https://zenodo.org/record/6673685/files/Korean.zip>`_
Russian,412.67 Hrs,`35.32GB <https://zenodo.org/record/6673685/files/Russian.zip>`_
Spanish,161.48 Hrs,`12 GB <https://zenodo.org/record/6990583/files/Spanish.zip`_
Turkish,48.50 Hrs,`3.87 GB <https://zenodo.org/record/6673685/files/Turkish.zip>`_
