Sign Language,Download Pose Data
American,`63MB <https://zenodo.org/record/6731224/files/American.zip?download=1>`_
Argentine,`25MB <https://zenodo.org/record/6731224/files/Argentine.zip?download=1>`_
Chinese,Not public
German,`46MB <https://zenodo.org/record/6731224/files/German.zip?download=1>`_
Greek,`19MB <https://zenodo.org/record/6731224/files/Greek.zip?download=1>`_
Indian,`28MB <https://zenodo.org/record/6731224/files/Indian.zip?download=1>`_
Turkish,`40MB <https://zenodo.org/record/6731224/files/Turkish.zip?download=1>`_
