Dataset,Metadata,BiLSTM,BERT,ST-GCN,SL-GCN
:class:`~openhands.datasets.isolated.AUTSLDataset`,`autsl_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/autsl_metadata.zip>`_,`autsl_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/autsl_lstm.zip>`_,`autsl_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/autsl_bert.zip>`_,`autsl_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/autsl_slgcn.zip>`_,`autsl_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/autsl_stgcn.zip>`_
:class:`~openhands.datasets.isolated.CSLDataset`,`csl_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/csl_metadata.zip>`_,`csl_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/csl_lstm.zip>`_,`csl_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/csl_bert.zip>`_,`csl_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/csl_slgcn.zip>`_,`csl_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/csl_stgcn.zip>`_
:class:`~openhands.datasets.isolated.DeviSignDataset`,`devisign_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/devisign_metadata.zip>`_,`devisign_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/devisign_lstm.zip>`_,`devisign_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/devisign_bert.zip>`_,`devisign_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/devisign_slgcn.zip>`_,`devisign_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/devisign_stgcn.zip>`_
:class:`~openhands.datasets.isolated.GSLDataset`,`gsl_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/gsl_metadata.zip>`_,`gsl_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/gsl_lstm.zip>`_,`gsl_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/gsl_bert.zip>`_,`gsl_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/gsl_slgcn.zip>`_,`gsl_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/gsl_stgcn.zip>`_
:class:`~openhands.datasets.isolated.INCLUDEDataset`,`include_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/include_metadata.zip>`_,`include_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/include_lstm.zip>`_,`include_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/include_bert.zip>`_,`include_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/include_slgcn.zip>`_,`include_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/include_stgcn.zip>`_
:class:`~openhands.datasets.isolated.LSA64Dataset`,`lsa64_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/lsa64_metadata.zip>`_,`lsa64_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/lsa64_lstm.zip>`_,`lsa64_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/lsa64_bert.zip>`_,`lsa64_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/lsa64_slgcn.zip>`_,`lsa64_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/lsa64_stgcn.zip>`_
:class:`~openhands.datasets.isolated.WLASLDataset`,`wlasl_metadata.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/wlasl_metadata.zip>`_,`wlasl_lstm.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/wlasl_lstm.zip>`_,`wlasl_bert.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/wlasl_bert.zip>`_,`wlasl_slgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/wlasl_slgcn.zip>`_,`wlasl_stgcn.zip <https://github.com/AI4Bharat/OpenHands/releases/download/checkpoints_v1/wlasl_stgcn.zip>`_
