Source,Total Hours,Download Size
`ISH News <https://www.youtube.com/c/ISHNews>`_,145,`16GB <https://zenodo.org/record/5558897/files/ISH_News.zip?download=1>`_
`MBM Vadodara <https://www.youtube.com/channel/UCptUQkgBpyrvDK31d16lPmA>`_,225,`23GB <https://zenodo.org/record/5558897/files/MBM_Vadodara.zip?download=1>`_
`NewzHook <https://www.youtube.com/c/NewzHookNewsforDisabledinIndia>`_,615,`61GB <https://zenodo.org/record/5558897/files/NewzHook.zip?download=1>`_
`National Institute of Open Schooling (NIOS) <https://www.youtube.com/channel/UCXBn5q8Zv4Bz-LZXWWD7Jxw>`_,115,`11GB <https://zenodo.org/record/5558897/files/NIOS.zip?download=1>`_
`SIGN LIBRARY <https://www.youtube.com/channel/UCaTMaFNkTiwgsSQ7FYaiaTQ/>`_,29,`3GB <https://zenodo.org/record/5558897/files/Sign_Library.zip?download=1>`_
